Id,Firstname,Surname,Born,Birth Location,Noble recieved,Motivation,Organization name,Organisation's Location
151,Douglas D.,Osheroff,1945-08-01,"Aberdeen WA, USA",1996,"""for their discovery of superfluidity in helium-3""",Stanford University,"Stanford CA, USA"
152,William D.,Phillips,1948-11-05,"Wilkes-Barre PA, USA",1997,"""for development of methods to cool and trap atoms with laser light""",National Institute of Standards and Technology,"Gaithersburg MD, USA"
153,Claude,Cohen-Tannoudji,1933-04-01,"Constantine, French Algeria (now Algeria)",1997,"""for development of methods to cool and trap atoms with laser light""",Collège de France,"Paris, France"
154,Steven,Chu,1948-02-28,"St. Louis MO, USA",1997,"""for development of methods to cool and trap atoms with laser light""",Stanford University,"Stanford CA, USA"
155,Robert B.,Laughlin,1950-11-01,"Visalia CA, USA",1998,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",Stanford University,"Stanford CA, USA"
156,Horst L.,Störmer,1949-04-06,"Frankfurt-on-the-Main, West Germany (now Germany)",1998,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",Columbia University,"New York NY, USA"
157,Daniel C.,Tsui,1939-02-28,"Henan, China",1998,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",Princeton University,"Princeton NJ, USA"
158,Gerardus,'t Hooft,1946-07-05,"Den Helder, the Netherlands",1999,"""for elucidating the quantum structure of electroweak interactions in physics""",Utrecht University,"Utrecht, the Netherlands"
159,Martinus J.G.,Veltman,1931-06-27,"Waalwijk, the Netherlands",1999,"""for elucidating the quantum structure of electroweak interactions in physics""",Paris-Sorbonne University (Université de Paris),"Paris, France"
160,Zhores,Alferov,1930-03-15,"Vitebsk Belorussia, USSR (now Belarus)",2000,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics""",A.F. Ioffe Physico-Technical Institute,"St. Petersburg, Russia"
161,Jack,Kilby,1923-11-08,"Jefferson City MO, USA",2000,"""for his part in the invention of the integrated circuit""",Texas Instruments,"Dallas TX, USA"
162,Herbert,Kroemer,1928-08-25,"Weimar, Germany",2000,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics""",University of California,"Santa Barbara CA, USA"
163,Wolfgang,Ketterle,1957-10-21,"Heidelberg, West Germany (now Germany)",2001,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates""",Massachusetts Institute of Technology (MIT),"Cambridge MA, USA"
164,Eric,Cornell,1961-12-19,"Palo Alto CA, USA",2001,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates""",University of Colorado JILA,"Boulder CO, USA"
165,Carl,Wieman,1951-03-26,"Corvallis OR, USA",2001,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates""",University of Colorado JILA,"Boulder CO, USA"
166,Raymond,Davis Jr.,1914-10-14,"Washington D.C., USA",2002,"""for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos""",University of Pennsylvania,"Philadelphia PA, USA"
167,Riccardo,Giacconi,1931-10-06,"Genoa, Italy",2002,"""for pioneering contributions to astrophysics which have led to the discovery of cosmic X-ray sources""",Associated Universities Inc.,"Washington D.C., USA"
168,Masatoshi,Koshiba,1926-09-19,"Toyohashi, Japan",2002,"""for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos""",University of Tokyo,"Tokyo, Japan"
169,Vitaly L.,Ginzburg,1916-10-04,"Moscow, Russia",2003,"""for pioneering contributions to the theory of superconductors and superfluids""",P.N. Lebedev Physical Institute,"Moscow, Russia"
170,Alexei,Abrikosov,1928-06-25,"Moscow, USSR (now Russia)",2003,"""for pioneering contributions to the theory of superconductors and superfluids""",Argonne National Laboratory,"Argonne IL, USA"
171,Anthony J.,Leggett,1938-03-26,"London, United Kingdom",2003,"""for pioneering contributions to the theory of superconductors and superfluids""",University of Illinois,"Urbana IL, USA"
172,Frank,Wilczek,1951-05-15,"New York NY, USA",2004,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",Massachusetts Institute of Technology (MIT),"Cambridge MA, USA"
173,David J.,Gross,1941-02-19,"Washington D.C., USA",2004,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",University of California Kavli Institute for Theoretical Physics,"Santa Barbara CA, USA"
174,H. David,Politzer,1949-08-31,"New York NY, USA",2004,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",California Institute of Technology (Caltech),"Pasadena CA, USA"
175,John L.,Hall,1934-08-21,"Denver CO, USA",2005,"""for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique""",University of Colorado JILA,"Boulder CO, USA"
176,Theodor W.,Hänsch,1941-10-30,"Heidelberg, Germany",2005,"""for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique""",Max Planck Institute of Quantum Optics,"Garching, Germany"
177,Roy J.,Glauber,1925-09-01,"New York NY, USA",2005,"""for his contribution to the quantum theory of optical coherence""",Harvard University,"Cambridge MA, USA"
178,George F.,Smoot,1945-02-20,"Yukon FL, USA",2006,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""",University of California,"Berkeley CA, USA"
179,John C.,Mather,1946-08-07,"Roanoke VA, USA",2006,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""",NASA Goddard Space Flight Center,"Greenbelt MD, USA"
180,Albert,Fert,1938-03-07,"Carcassonne, France",2007,"""for the discovery of Giant Magnetoresistance""",Universit&eacute; Paris-Sud,"Orsay, France"
181,Peter,Grünberg,1939-05-18,"Plzen, Czechoslovakia (now Czech Republic)",2007,"""for the discovery of Giant Magnetoresistance""",Forschungszentrum J&uuml;lich,"Jülich, Germany"
182,Makoto,Kobayashi,1944-04-07,"Nagoya, Japan",2008,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",High Energy Accelerator Research Organization (KEK),"Tsukuba, Japan"
183,Yoichiro,Nambu,1921-01-18,"Tokyo, Japan",2008,"""for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics""",Enrico Fermi Institute University of Chicago,"Chicago IL, USA"
184,Toshihide,Maskawa,1940-02-07,"Nagoya, Japan",2008,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",Kyoto Sangyo University,"Kyoto, Japan"
185,Charles K.,Kao,1933-11-04,"Shanghai, China",2009,"""for groundbreaking achievements concerning the transmission of light in fibers for optical communication""",Standard Telecommunication Laboratories,"Harlow, United Kingdom"
186,Willard S.,Boyle,1924-08-19,"Amherst NS, Canada",2009,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",Bell Laboratories,"Murray Hill NJ, USA"
187,George E.,Smith,1930-05-10,"White Plains NY, USA",2009,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",Bell Laboratories,"Murray Hill NJ, USA"
188,Konstantin,Novoselov,1974-08-23,"Nizhny Tagil, Russia",2010,"""for groundbreaking experiments regarding the two-dimensional material graphene""",University of Manchester,"Manchester, United Kingdom"
189,Andre,Geim,1958-10-21,"Sochi, Russia",2010,"""for groundbreaking experiments regarding the two-dimensional material graphene""",University of Manchester,"Manchester, United Kingdom"
190,Brian P.,Schmidt,1967-02-24,"Missoula MT, USA",2011,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",Australian National University,"Weston Creek, Australia"
191,Adam G.,Riess,1969-12-16,"Washington D.C., USA",2011,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",Johns Hopkins University,"Baltimore MD, USA"
192,Saul,Perlmutter,1959-09-22,"Champaign-Urbana IL, USA",2011,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",Lawrence Berkeley National Laboratory,"Berkeley CA, USA"
193,David J.,Wineland,1944-02-24,"Milwaukee WI, USA",2012,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",National Institute of Standards and Technology,"Boulder CO, USA"
194,Serge,Haroche,1944-09-11,"Casablanca, Morocco",2012,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",Collège de France,"Paris, France"
195,Peter,Higgs,1929-05-29,"Newcastle upon Tyne, United Kingdom",2013,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",University of Edinburgh,"Edinburgh, United Kingdom"
196,François,Englert,1932-11-06,"Etterbeek, Belgium",2013,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",Université Libre de Bruxelles,"Brussels, Belgium"
197,Hiroshi,Amano,1960-09-11,"Hamamatsu, Japan",2014,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",Nagoya University,"Nagoya, Japan"
198,Isamu,Akasaki,1929-01-30,"Chiran, Japan",2014,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",Meijo University,"Nagoya, Japan"
199,Shuji,Nakamura,1954-05-22,"Ikata, Japan",2014,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",University of California,"Santa Barbara CA, USA"
200,Takaaki,Kajita,1959-03-09,"Higashimatsuyama, Japan",2015,"""for the discovery of neutrino oscillations which shows that neutrinos have mass""",University of Tokyo,"Kashiwa, Japan"
201,Arthur B.,McDonald,1943-08-29,"Sydney Nova Scotia, Canada",2015,"""for the discovery of neutrino oscillations which shows that neutrinos have mass""",Queen's University,"Kingston, Canada"
202,F. Duncan M.,Haldane,1951-09-14,"London, United Kingdom",2016,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",Princeton University,"Princeton NJ, USA"
203,J. Michael,Kosterlitz,1943-06-22,"Aberdeen, United Kingdom",2016,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",Brown University,"Providence RI, USA"
204,David J.,Thouless,1934-09-21,"Bearsden, United Kingdom",2016,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",University of Washington,"Seattle WA, USA"
205,Kip S.,Thorne,1940-06-01,"Logan UT, USA",2017,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",LIGO/VIRGO Collaboration,"USA, Italy"
206,Barry C.,Barish,1936-01-27,"Omaha NE, USA",2017,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",LIGO/VIRGO Collaboration,"USA, Italy"
207,Rainer,Weiss,1932-09-29,"Berlin, Germany",2017,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",LIGO/VIRGO Collaboration,"USA, Italy"
208,Donna,Strickland,1959-05-27,"Guelph, Canada",2018,"""for their method of generating high-intensity ultra-short optical pulses""",University of Waterloo,"Waterloo, Canada"
209,Gérard,Mourou,1944-06-22,"Albertville, France",2018,"""for their method of generating high-intensity ultra-short optical pulses""",École Polytechnique,"Palaiseau, France"
210,Arthur,Ashkin,1922-09-02,"New York NY, USA",2018,"""for the optical tweezers and their application to biological systems""",Bell Laboratories,"Holmdel NJ, USA"
211,James,Peebles,1935-04-25,"Winnipeg, Canada",2019,"""for theoretical discoveries in physical cosmology""",Princeton University,"Princeton NJ, USA"
212,Didier,Queloz,1966-02-23,"Geneva, Switzerland",2019,"""for the discovery of an exoplanet orbiting a solar-type star""",University of Geneva,"Geneva, Switzerland"
213,Michel,Mayor,1942-01-12,"Lausanne, Switzerland",2019,"""for the discovery of an exoplanet orbiting a solar-type star""",University of Geneva,"Geneva, Switzerland"
214,Reinhard,Genzel,1952-03-24,"Bad Homburg vor der Höhe, Germany",2020,"""for the discovery of a supermassive compact object at the centre of our galaxy""",Max Planck Institute for Extraterrestrial Physics,"Garching, Germany"
215,Andrea,Ghez,1965-06-16,"New York NY, USA",2020,"""for the discovery of a supermassive compact object at the centre of our galaxy""",University of California,"Los Angeles CA, USA"
216,Roger,Penrose,1931-08-08,"Colchester, United Kingdom",2020,"""for the discovery that black hole formation is a robust prediction of the general theory of relativity""",University of Oxford,"Oxford, United Kingdom"
217,Klaus,Hasselmann,1931-10-25,"Hamburg, Germany",2021,"""for the physical modelling of Earth’s climate quantifying variability and reliably predicting global warming""",Max Planck Institute for Meteorology,"Hamburg, Germany"
218,Giorgio,Parisi,1948-08-04,"Rome, Italy",2021,"""for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales""",Sapienza University of Rome,"Rome, Italy"
219,Syukuro,Manabe,1931-09-21,"Shingu Ehime, Japan",2021,"""for the physical modelling of Earth’s climate quantifying variability and reliably predicting global warming""",Princeton University,"Princeton NJ, USA"
220,John,Clauser,1942-12-01,"Pasadena CA, USA",2022,"""for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science""",J.F. Clauser & Assoc.,"Walnut Creek CA, USA"
221,Alain,Aspect,1947-06-15,"Agen, France",2022,"""for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science""",Institut d’Optique Graduate School – Université Paris-Saclay,"Paris, France"
222,Anton,Zeilinger,1945-05-20,"Ried im Innkreis, Austria",2022,"""for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science""",University of Vienna,"Vienna, Austria"
223,Pierre,Agostini,1941-07-23,"Tunis, French protectorate of Tunisia (now Tunisia)",2023,"""for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter""",The Ohio State University,"Columbus OH, USA"
224,Anne,L’Huillier,1958-08-16,"Paris, France",2023,"""for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter""",Lund University,"Lund, Sweden"
225,Ferenc,Krausz,1962-05-17,"Mór, Hungary",2023,"""for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter""",Max Planck Institute of Quantum Optics,"Garching, Germany"
